"token","n"
"jobs",6
"land",6
"large",6
"leader",6
"led",6
"likely",6
"long",6
"morcha",6
"much",6
"particularly",6
"program",6
"ram",6
"ruling",6
"said",6
"secular",6
"some",6
"still",6
"summit",6
"takeaways",6
"third",6
"une",6
"uttar",6
"when",6
"à",6
"11",5
"18",5
"193",5
"2008",5
"400bn",5
"68236697",5
"87441",5
"according",5
"agenda",5
"benefits",5
"bet",5
"bharat",5
"biswas",5
"brief",5
"caroline",5
"cash",5
"chaudhury",5
"current",5
"explainers",5
"failed",5
"fear",5
"february",5
"feel",5
"finally",5
"forbes",5
"goods",5
"high",5
"hindutva",5
"holy",5
"html",5
"iiss",5
"industrial",5
"industry",5
"infrastructure",5
"issue",5
"january",5
"jd",5
"just",5
"key",5
"largest",5
"leadership",5
"leading",5
"local",5
"maharashtra",5
"mallory",5
"managed",5
"marxist",5
"mckinsey",5
"middle",5
"nations",5
"number",5
"performance",5
"policies",5
"programs",5
"provide",5
"recent",5
"reforms",5
"relative",5
"rights",5
"role",5
"roy",5
"rupees",5
"schemes",5
"sena",5
"shiv",5
"site",5
"soutik",5
"sp",5
"subramanian",5
"surprising",5
"tdp",5
"temple",5
"today",5
"turning",5
"up",5
"value",5
"water",5
"weakening",5
"where",5
"working",5
"www.forbesindia.com",5
"13",4
"2021",4
"2022",4
"22",4
"240",4
"28",4
"6",4
"60",4
"7",4
"aap",4
"abdessalam",4
"accounting",4
"accounts",4
"aims",4
"alignment",4
"allies",4
"although",4
"announced",4
"arvind",4
"bajpaee",4
"because",4
"billion",4
"brought",4
"chaotic",4
"chietigj",4
"civil",4
"communist",4
"controlled",4
"crisis",4
"critical",4
"decade",4
"decision",4
"developmental",4
"digital",4
"doctrine",4
"dravida",4
"education",4
"equality",4
"face",4
"form",4
"formed",4
"france",4
"fundamental",4
"gautier",4
"geopolitical",4
"giving",4
"grandissante",4
"held",4
"icaa",4
"ideological",4
"if",4
"important",4
"inclusive",4
"independence",4
"indians",4
"initiatives",4
"interests",4
"jaldi",4
"jawaharlal",4
"job",4
"kashmir",4
"kazhagam",4
"kerala",4
"labor",4
"landscape",4
"leninist",4
"les",4
"less",4
"life",4
"low",4
"major",4
"making",4
"media",4
"months",4
"mr",4
"multi",4
"munnetra",4
"must",4
"org",4
"overall",4
"parliamentary",4
"part",4
"partner",4
"parts",4
"politics",4
"principal",4
"promised",4
"ranks",4
"refugees",4
"remains",4
"remporte",4
"return",4
"rising",4
"rural",4
"same",4
"say",4
"sector",4
"secured",4
"seen",4
"share",4
"shows",4
"single",4
"so",4
"successes",4
"support",4
"tax",4
"terms",4
"trade",4
"trinamool",4
"u",4
"www.iiss.org",4
"year",4
"0",3
"02a9d690cc54",3
"124060401819_1",3
"16",3
"1973",3
"1998",3
"29",3
"31",3
"34",3
"37",3
"3f80be466913",3
"4352",3
"4795",3
"49",3
"54",3
"542a",3
"543",3
"6985897",3
"80",3
"85e8d201",3
"8a3d",3
"9254184f",3
"a27d",3
"aadmi",3
"aam",3
"achieved",3
"across",3
"added",3
"aditi",3
"affairs",3
"aimed",3
"aiming",3
"akim",3
"already",3
"ambassade",3
"america",3
"anna",3
"astha",3
"bank",3
"base",3
"before",3
"bengal",3
"benoît",3
"bharati",3
"business",3
"cab",3
"carsten",3
"centrist",3
"century",3
"certain",3
"chains",3
"challenge",3
"checked",3
"claim",3
"clear",3
"com",3
"communities",3
"concerns",3
"could",3
"create",3
"defeat",3
"dehnert",3
"der",3
"desam",3
"despite",3
"developed",3
"developing",3
"dieter",3
"diverse",3
"do",3
"dominant",3
"each",3
"efforts",3
"emphasized",3
"end",3
"era",3
"essentially",3
"every",3
"executive",3
"exercise",3
"expansion",3
"expectations",3
"experts",3
"f069",3
"family",3
"far",3
"featured",3
"files",3
"financial",3
"focused",3
"following",3
"former",3
"four",3
"friedrich",3
"gandhi’s",3
"get",3
"given",3
"gopaldas",3
"govern",3
"hans",3
"health",3
"help",3
"herbert",3
"herzog",3
"holtzmann",3
"home",3
"idea",3
"identity",3
"importance",3
"impression",3
"inc",3
"inclusion",3
"income",3
"increased",3
"influence",3
"inge",3
"institutions",3
"investment",3
"iran",3
"iss",3
"issafrica.org",3
"janvier",3
"jharkhand",3
"juin",3
"jörg",3
"kesavananda",3
"kharge",3
"klein",3
"kothé",3
"lack",3
"last",3
"latin",3
"le",3
"legal",3
"legislative",3
"level",3
"levels",3
"like",3
"limits",3
"link",3
"little",3
"lower",3
"l’épreuve",3
"made",3
"main",3
"makes",3
"manufacturing",3
"market",3
"marti",3
"martin",3
"mercantilisme",3
"mgi",3
"ministerial",3
"minorities",3
"missions",3
"model",3
"modien",3
"moving",3
"naumann",3
"naval",3
"nearly",3
"need",3
"needs",3
"november",3
"nrc",3
"obtained",3
"old",3
"order",3
"others",3
"own",3
"particular",3
"pass",3
"perceived",3
"person",3
"phadnis",3
"place",3
"politically",3
"populous",3
"post",3
"presidency",3
"programme",3
"protection",3
"rajvanshi",3
"recently",3
"remain",3
"report",3
"revealing",3
"revival",3
"rhetoric",3
"ronak",3
"russia",3
"réalité",3
"régional",3
"s",3
"saad",3
"samajwadi",3
"seat",3
"seek",3
"service",3
"set",3
"several",3
"short",3
"should",3
"siegfried",3
"six",3
"standard",3
"standard.com",3
"stiftung",3
"story",3
"strength",3
"structural",3
"structure",3
"successful",3
"system",3
"telugu",3
"tensions",3
"test",3
"text",3
"those",3
"though",3
"top",3
"transfers",3
"transition",3
"union",3
"us",3
"van",3
"various",3
"vein",3
"violate",3
"voort",3
"vote",3
"vs",3
"way",3
"whether",3
"work",3
"www.business",3
"www.chathamhouse.org",3
"www.tresor.economie.gouv.fr",3
"young",3
"économique",3
"08",2
"09",2
"1.4",2
"100,000",2
"1626641",2
"17",2
"1947",2
"1962",2
"1971",2
"2015",2
"2016",2
"2018",2
"2029",2
"2030",2
"20agenda",2
"20an",2
"20and",2
"20economic",2
"20growth",2
"20insights",2
"20jobs",2
"20spur",2
"20to",2
"20turning",2
"212",2
"23",2
"25",2
"26",2
"27",2
"272",2
"3.5",2
"30",2
"36",2
"370",2
"40",2
"41",2
"42",2
"48",2
"5,42",2
"5,44",2
"537",2
"57",2
"61",2
"63",2
"64",2
"65",2
"66",2
"67",2
"71",2
"72",2
"73",2
"77",2
"78",2
"790649",2
"800",2
"83",2
"84",2
"900",2
"99",2
"999116",2
"abhishek",2
"ability",2
"able",2
"absolute",2
"access",2
"achieve",2
"action",2
"acts",2
"address",2
"adivasi",2
"advocated",2
"again",2
"aged",2
"agricultural",2
"agriculture",2
"aim",2
"ajsu",2
"ajsup",2
"allowed",2
"alternative",2
"analytical",2
"anand",2
"ancient",2
"apna",2
"appears",2
"argue",2
"argued",2
"arriving",2
"asked",2
"asom",2
"aspects",2
"assam",2
"assertive",2
"autonomous",2
"available",2
"awam",2
"backward",2
"baratiya",2
"basic",2
"became",2
"behavior",2
"beliefs",2
"beyond",2
"biggest",2
"bihar",2
"body",2
"boost",2
"border",2
"brown",2
"built",2
"c5113nvjevxo",2
"cabinet",2
"called",2
"campaigning",2
"capacity",2
"capital",2
"case",2
"caused",2
"central",2
"chakma",2
"change",2
"changes",2
"character",2
"chiruthaigal",2
"claimed",2
"class",2
"clean",2
"cnn",2
"coalition’s",2
"code",2
"colonial",2
"come",2
"commitment",2
"common",2
"community",2
"compared",2
"component",2
"concept",2
"concern",2
"conference",2
"consecutive",2
"consensus",2
"consequential",2
"consists",2
"constitutional",2
"consumption",2
"context",2
"continent",2
"continue",2
"contrary",2
"contribute",2
"contributed",2
"cooking",2
"cooperate",2
"cooperation",2
"core",2
"corruption",2
"cost",2
"covid",2
"cp00jze920eo",2
"criticized",2
"cultural",2
"currently",2
"cycle",2
"d.k",2
"dalit",2
"data",2
"day",2
"debt",2
"decades",2
"deeply",2
"deity",2
"delhis",2
"delhi’s",2
"dependent",2
"des",2
"different",2
"difficulties",2
"dimble",2
"direct",2
"discrimination",2
"dispute",2
"disputed",2
"dmk",2
"doc_uploads",2
"domestic",2
"double",2
"down",2
"dutta",2
"early",2
"economie",2
"elected",2
"electorally",2
"emerged",2
"emerges",2
"employed",2
"energy",2
"enough",2
"entire",2
"entitled",2
"entrepreneurs",2
"entry",2
"example",2
"explained",2
"explains",2
"external",2
"facing",2
"factors",2
"failure",2
"faith",2
"falling",2
"farm",2
"farmers",2
"features",2
"federal",2
"felt",2
"fifth",2
"fight",2
"figure",2
"file_1608617954",2
"finance",2
"force",2
"forward",2
"fought",2
"foundation",2
"freedom",2
"further",2
"future",2
"gana",2
"geeta",2
"globally",2
"god",2
"goes",2
"good",2
"got",2
"governance",2
"ground",2
"group",2
"growing",2
"gst",2
"gupta",2
"half",2
"hard",2
"harsh",2
"hdi",2
"heft",2
"helene",2
"helm",2
"henry",2
"highly",2
"hindustani",2
"historic",2
"hnk",2
"hoped",2
"household",2
"households",2
"huge",2
"ideologies",2
"imf",2
"immigrants",2
"impose",2
"increasingly",2
"index.html",2
"individuals",2
"inequality",2
"inflation",2
"internal",2
"intl",2
"introduction",2
"islamic",2
"it_in_5df1b3b5e4b06a50a2e9e06f",2
"iuml",2
"jammu",2
"janasena",2
"janashakti",2
"jerusalem",2
"jkn",2
"jmm",2
"joint",2
"k",2
"karnataka",2
"katchi",2
"kec",2
"ki",2
"kidwai",2
"known",2
"krantikari",2
"landslide",2
"largely",2
"league",2
"legislatives",2
"legislature",2
"leverage",2
"liberty",2
"loktantrik",2
"looked",2
"législatives",2
"magnitude",2
"mallikarjun",2
"manufactured",2
"manveena",2
"mark",2
"marumalarchi",2
"matter",2
"mdmk",2
"means",2
"measures",2
"mentioned",2
"migrants",2
"ministers",2
"minority",2
"modernization",2
"movement",2
"mukti",2
"name",2
"nation",2
"nationalists",2
"nation’s",2
"needed",2
"nikhila",2
"north",2
"noted",2
"noteworthy",2
"numbers",2
"objective",2
"observed",2
"observer",2
"odds",2
"off",2
"often",2
"once",2
"opportunities",2
"opposed",2
"opposition’s",2
"orf",2
"organisation",2
"organization",2
"organized",2
"outright",2
"overtaken",2
"pandemic",2
"pandey",2
"pant",2
"parishad",2
"party’s",2
"past",2
"pawar",2
"pcns",2
"pdf",2
"people’s",2
"percent",2
"perceptions",2
"personality",2
"perspective",2
"played",2
"points",2
"polarising",2
"policymaking",2
"poor",2
"positions",2
"potential",2
"pour",2
"powers",2
"prabhash",2
"preamble",2
"presence",2
"preside",2
"press",2
"principles",2
"private",2
"priyanka",2
"process",2
"projection",2
"protect",2
"proved",2
"punjab",2
"put",2
"pyrrhus",2
"question",2
"range",2
"rare",2
"reach",2
"reaching",2
"reconfiguration",2
"regan",2
"regardless",2
"register",2
"relationships",2
"released",2
"releases",2
"rely",2
"remaining",2
"renewable",2
"reporters",2
"representation",2
"representing",2
"resonate",2
"resonated",2
"respectively",2
"rest",2
"restructuring",2
"revolutionary",2
"rise",2
"rivalry",2
"rjd",2
"rld",2
"rule",2
"rules",2
"rupee",2
"secularism",2
"secure",2
"securing",2
"seems",2
"self",2
"sharad",2
"sharing",2
"shift",2
"shifts",2
"shinde",2
"significantly",2
"sikkim",2
"skilled",2
"skm",2
"slashed",2
"slogan",2
"socialist",2
"solutions",2
"soneylal",2
"sought",2
"space",2
"spending",2
"spur",2
"stance",2
"static",2
"statute",2
"stigmatization",2
"strategy",2
"struggle",2
"substantial",2
"success",2
"successfully",2
"summary",2
"supplies",2
"supported",2
"sura",2
"surveys",2
"swati",2
"tally",2
"tank",2
"target",2
"technology",2
"thackrey",2
"then",2
"they’re",2
"think",2
"time.com",2
"tmc",2
"told",2
"too",2
"towards",2
"traditional",2
"transfer",2
"transformation",2
"tribune",2
"tried",2
"tweet",2
"twentieth",2
"uddhav",2
"unanimous",2
"undocumented",2
"undoubtedly",2
"undp",2
"unified",2
"uniform",2
"unprecedented",2
"until",2
"upper",2
"used",2
"usher",2
"v",2
"vck",2
"vfinal.pdf",2
"victoire",2
"victories",2
"viduthalai",2
"vikas",2
"vilas",2
"violates",2
"vision",2
"votes",2
"voting",2
"we",2
"weakened",2
"weakest",2
"weaknesses",2
"women",2
"words",2
"worked",2
"workforce",2
"written",2
"www",2
"www.freiheit",2
"www.indiatoday.in",2
"www.latribune.fr",2
"www.mckinsey.com",2
"élections",2
"1,100",1
"1,200",1
"1,800",1
"1.1",1
"1.2",1
"1.5",1
"10,000",1
"110",1
"11103",1
"12,000",1
"120",1
"144",1
"150,000",1
"186852",1
"1925",1
"1970s",1
"1976",1
"1980",1
"1990s",1
"1996",1
"2.1",1
"2.2",1
"2.3",1
"2.8",1
"2004",1
"2013",1
"2017",1
"2025",1
"2028",1
"2047",1
"20point",1
"20th",1
"234",1
"257876",1
"293",1
"3.1",1
"3.2",1
"3.3",1
"3.4",1
"303",1
"316",1
"32",1
"33",1
"336",1
"35",1
"353",1
"38",1
"39",1
"42,000",1
"43",1
"44",1
"44.49",1
"44.9",1
"45",1
"46",1
"47",1
"5,27",1
"5,33",1
"5,36",1
"5,9",1
"50",1
"500",1
"51",1
"52",1
"53",1
"55",1
"56",1
"58",1
"59",1
"6,000",1
"62",1
"640",1
"68",1
"69",1
"7,3",1
"70",1
"74",1
"75",1
"76",1
"79",1
"8,1",1
"8,3",1
"8.7",1
"81",1
"82",1
"90",1
"ab",1
"abandoning",1
"above",1
"abrupt",1
"absence",1
"absorb",1
"accelerated",1
"accelerating",1
"accentuation",1
"access59",1
"accountable",1
"accounted",1
"accumulated",1
"accurate",1
"accurately",1
"achieved72",1
"achieving",1
"achilles",1
"acquisition",1
"acres",1
"activities",1
"adapt",1
"addition",1
"additional",1
"address35",1
"adhere",1
"adityanath",1
"adopting",1
"adoption",1
"advanced",1
"advantages",1
"adviser",1
"advisor",1
"advocate",1
"advocating",1
"aeronautics",1
"affairs25",1
"affect",1
"affecting",1
"affirmative",1
"affordable",1
"afghanistan",1
"aforementioned",1
"africa’s",1
"agendas",1
"ago55",1
"agrarian",1
"agreements",1
"ajit",1
"akali",1
"akhara",1
"albeit",1
"allow",1
"alongside",1
"always",1
"ambitious",1
"amidst",1
"amit",1
"amounting",1
"analyst",1
"anathema",1
"announcement",1
"annual",1
"annually",1
"anti",1
"anticipated",1
"apparent",1
"appeal",1
"applied",1
"applies",1
"approach",1
"appropriate",1
"arab",1
"archaeological",1
"arduous",1
"area",1
"areas",1
"arena",1
"arenas",1
"aren’t",1
"arguably",1
"arguing",1
"arrangements",1
"arrogance",1
"arunachal",1
"ashoka",1
"ashoka.edu.in",1
"asian",1
"asincluding",1
"aspirations",1
"aspire",1
"assembly",1
"assert",1
"assigning",1
"atlantic",1
"atmanirbhar",1
"attempt",1
"attending",1
"attract",1
"attractive",1
"attractiveness",1
"attributed",1
"atul",1
"au",1
"author",1
"automatic",1
"autonomy",1
"au’s",1
"average",1
"baar",1
"backed",1
"baggage",1
"balance",1
"balances",1
"banerjee",1
"banks",1
"basins",1
"basis",1
"becoming",1
"beginning",1
"begun",1
"behind",1
"being",1
"believe",1
"benefit",1
"benefiting",1
"benoit",1
"besides",1
"bibliography",1
"bicycles",1
"biennial",1
"bigger",1
"blow",1
"board",1
"boasts",1
"bolster",1
"brake",1
"breadth",1
"brides58",1
"bridges",1
"british",1
"brokered",1
"brother",1
"brs",1
"buddhists",1
"budgetary",1
"buffer",1
"building",1
"businesses",1
"caa",1
"call",1
"candidates",1
"cannot",1
"canvassing",1
"carbon",1
"care",1
"carrying",1
"caste",1
"castes",1
"cautionary",1
"celebrating",1
"centered",1
"centre",1
"centuries",1
"certainly",1
"chaebols",1
"chaired",1
"challenging",1
"champion",1
"changing",1
"charged",1
"charitable",1
"charm",1
"chatham",1
"chavan17",1
"cheap",1
"chhattisgarh",1
"child",1
"china’s",1
"chinese",1
"choosing",1
"christians",1
"citizen",1
"civilization",1
"civilizational",1
"claiming",1
"claims",1
"classification",1
"close",1
"closely",1
"cnn.com",1
"co",1
"coexistence",1
"cohesion",1
"coincided",1
"coined",1
"collapse",1
"colleges",1
"combination",1
"comeback",1
"comes",1
"coming",1
"command",1
"commendable",1
"commission",1
"committed",1
"communal",1
"communication",1
"comparable",1
"comparative",1
"compelled",1
"competitive",1
"competitiveness",1
"composition",1
"comprises",1
"compromises",1
"computing",1
"concerned",1
"concerning",1
"conclusion",1
"conditions",1
"conduct",1
"confidence",1
"configuration",1
"confined",1
"conflict",1
"conglomerates",1
"congressmen",1
"consequently",1
"consider",1
"considering",1
"consistent",1
"constituency",1
"constitute",1
"constitutes",1
"constitution’s",1
"constrain",1
"constrained",1
"constructed",1
"consultative",1
"contact",1
"contain",1
"contenders",1
"contesting",1
"contingent",1
"continued",1
"continues",1
"continuing",1
"contracting",1
"contracts",1
"contradicting",1
"contributing",1
"control",1
"controls",1
"controversial",1
"conventional",1
"conviction",1
"cordial",1
"cosmopolitan",1
"costs54",1
"counted",1
"countryside",1
"coupled",1
"course",1
"court’s",1
"cover45",1
"covered",1
"creating",1
"credentials",1
"credibility",1
"credible",1
"credit",1
"critics",1
"crucial",1
"cultivate",1
"culture",1
"currency",1
"cut",1
"cutting",1
"da",1
"damodar",1
"days",1
"debates",1
"decisions",1
"decisive",1
"declaration",1
"declared",1
"declining",1
"dedication",1
"deemed",1
"defeats",1
"defence",1
"defending",1
"defense",1
"deferred",1
"deficit",1
"defied",1
"defines",1
"deities",1
"deliberate",1
"deliberative",1
"deliver",1
"delivered",1
"delivering",1
"delivery",1
"demand",1
"demographic",1
"demonetize",1
"demonstrated",1
"denies",1
"denote",1
"denoted",1
"dependence",1
"depth",1
"deputy",1
"described",1
"desire",1
"destroy",1
"destroyed",1
"determine",1
"determined",1
"development39",1
"dhan",1
"dialogue",1
"diary",1
"didn’t",1
"differing",1
"difficult",1
"digit",1
"dilemmas",1
"directly",1
"director",1
"disagreements",1
"disciple",1
"discontent",1
"disparities",1
"disputes",1
"disqualification",1
"disruption",1
"disruptions",1
"distinct",1
"distributing",1
"distribution",1
"diversifying",1
"divided",1
"dividends",1
"divorce",1
"doc",1
"doctor",1
"domestically",1
"dominance",1
"dominated",1
"done",1
"don’t",1
"doubling",1
"doval",1
"downward",1
"dozen",1
"dr",1
"drawn",1
"duality",1
"dynamic",1
"dynast",1
"dynasty",1
"e",1
"earth",1
"easier",1
"easily",1
"eastern",1
"economically",1
"economics",1
"economies",1
"economists",1
"edition",1
"edition.cnn.com",1
"edu.in",1
"education56",1
"educationally",1
"effective",1
"effectively",1
"efficacy",1
"efficiency",1
"effort",1
"electorate",1
"electricity",1
"electronics",1
"elements",1
"elevated",1
"eligible",1
"email",1
"embodied",1
"embrace",1
"emerge",1
"emergency",1
"emperor",1
"emphasizing",1
"employer",1
"employment",1
"employment44",1
"enabling",1
"encourage",1
"endeavours",1
"ending",1
"endowed",1
"energies",1
"enjoyed",1
"ensure",1
"ensured",1
"enterprising",1
"entirety",1
"entitlements",1
"equally",1
"eroded",1
"eroding",1
"espouses",1
"essential",1
"essential62",1
"established",1
"et",1
"ethnic",1
"euro",1
"europe",1
"european",1
"events",1
"ever",1
"evidence",1
"evident",1
"exacerbates",1
"examining",1
"exceeds",1
"excellence",1
"exceptionalism",1
"exchequer",1
"excluding",1
"exclusively",1
"exercises",1
"existed",1
"exodus",1
"expand",1
"expanding",1
"expectancy",1
"expediting",1
"experience",1
"experienced",1
"expertise",1
"explanation",1
"exploitation",1
"export",1
"expressed",1
"expression",1
"extending",1
"extension",1
"faced",1
"faces",1
"facie",1
"facilitate",1
"facilitated",1
"fact",1
"factor",1
"failing",1
"faizabad",1
"families",1
"famous",1
"fastest",1
"fax",1
"feared",1
"feature",1
"fell",1
"female",1
"fewer",1
"fickle",1
"figurehead",1
"final",1
"finds",1
"fire",1
"flagged",1
"flags",1
"flashpoint",1
"flat",1
"fled",1
"floor",1
"fluctuations",1
"focus",1
"focuses",1
"followers",1
"forefront",1
"foreigner",1
"foremost",1
"foreshadow",1
"formally",1
"formation",1
"forming",1
"formulation",1
"forums80",1
"foster",1
"found",1
"foundations",1
"founded",1
"fourth",1
"france.org",1
"français",1
"fruitful",1
"fuel",1
"fuels",1
"fundamentally",1
"funds",1
"funneled",1
"g7",1
"garnered",1
"garnering",1
"gas",1
"gave",1
"generation",1
"ghosi",1
"girl",1
"girls",1
"give",1
"gives",1
"goal",1
"going",1
"gone",1
"governed",1
"governments",1
"grain",1
"grains",1
"grand",1
"granted",1
"great",1
"greatness70",1
"green",1
"grew",1
"grouped",1
"grouping",1
"groups",1
"growth38",1
"guaranteed",1
"gujarat",1
"handed",1
"handout",1
"haryana29",1
"having",1
"hdr",1
"head",1
"headed",1
"headway",1
"healthcare",1
"heart",1
"heavily",1
"heel",1
"helped",1
"her",1
"here",1
"he’s",1
"hierarchy",1
"higher",1
"highlight",1
"highlighted",1
"highlighting",1
"highlights",1
"himself",1
"hinduism",1
"hinduness",1
"holding",1
"holds",1
"holidays",1
"homogeneous",1
"hostile",1
"houses",1
"how",1
"hub",1
"humiliating",1
"hungry",1
"hurting",1
"hydrogen",1
"i",1
"i.e",1
"ideals",1
"identify",1
"identities",1
"ideologically",1
"ideology",1
"illegal",1
"illustrated",1
"impact",1
"impacting",1
"impacts",1
"impediment",1
"implementing",1
"implements",1
"implications",1
"importantly",1
"imposed",1
"improve",1
"improvement",1
"improving",1
"inaugural",1
"incarnation",1
"includes",1
"inclusively",1
"incompatible",1
"incorporated",1
"increase",1
"incredibly",1
"inc’s",1
"independent",1
"indiankanoon.org",1
"indicated",1
"indigenous",1
"indira",1
"indo",1
"induced",1
"industrialized",1
"influencing",1
"informal",1
"informality",1
"initial",1
"initiated",1
"inscribed",1
"institut",1
"insufficient",1
"integral",1
"integrated",1
"integration",1
"intention",1
"interest",1
"interlocutor",1
"intermediaries51",1
"internationales",1
"internationally",1
"internet",1
"interpreted",1
"introduced",1
"investments",1
"invigorated",1
"invited",1
"involving",1
"iris",1
"israel75",1
"italy",1
"j",1
"jains",1
"jairam",1
"jaishankar",1
"jan",1
"janta",1
"japanese",1
"jodo",1
"judgment67",1
"judiciary",1
"july",1
"jurisdictional",1
"jury",1
"justice",1
"justify",1
"kamar",1
"kharge’s",1
"kidawi",1
"kind",1
"kinds",1
"korean",1
"kumar",1
"kutumbakam",1
"labor40",1
"lacks",1
"lag",1
"lage",1
"lalla",1
"later",1
"lead",1
"leaders16",1
"leads",1
"leaky",1
"least",1
"leeway",1
"legislation31",1
"length",1
"levers",1
"liability",1
"lift",1
"light",1
"limitations",1
"line",1
"lineage",1
"list",1
"listened",1
"literally",1
"livelihood",1
"lives",1
"lockdown",1
"locus",1
"looking",1
"lord",1
"losses",1
"losses43",1
"lot",1
"lots",1
"maghreb",1
"magic",1
"mahatma",1
"mainly",1
"mainstream",1
"maintain",1
"majoritarian",1
"majorities",1
"majority30",1
"mamata",1
"manages",1
"manifesto",1
"manmohan",1
"manner",1
"mantri",1
"manufacturers",1
"manufacturing’s",1
"map",1
"maps",1
"maratha",1
"margin",1
"marketing",1
"marking",1
"marks",1
"marriage",1
"married",1
"masterstroke",1
"match",1
"matched",1
"matching",1
"matters",1
"maximize",1
"meaning",1
"meanwhile",1
"medieval",1
"mediterranean",1
"meet",1
"member",1
"mental",1
"mercantilist",1
"merchants",1
"met",1
"meteoric",1
"micro",1
"might",1
"migration",1
"milestone",1
"millions",1
"minerals",1
"minister’s",1
"ministry",1
"mixed",1
"mizoram",1
"mobilization",1
"modelled",1
"models",1
"modi33",1
"mohammed",1
"mojo",1
"monks",1
"month",1
"moral",1
"moreover",1
"moroccan",1
"morocco",1
"mosque",1
"move",1
"mughal",1
"mukherjee",1
"multilateral",1
"multiple",1
"multipolarity",1
"mutations",1
"narrative",1
"narratives",1
"natural",1
"nature",1
"navies",1
"navy",1
"nda’s",1
"nearing",1
"negotiated",1
"neighboring",1
"never",1
"nirmohi",1
"nitish",1
"northern",1
"notable",1
"note",1
"notes",1
"notion",1
"nsa",1
"nuclear",1
"nyay",1
"obc",1
"observation",1
"observations",1
"obtaining",1
"occurred",1
"offensive",1
"offers",1
"official",1
"officials",1
"offset",1
"offsetting",1
"older",1
"oldest",1
"olivier",1
"open",1
"opening",1
"operations",1
